ScenarioId,Iterations,TabuSize,Repeat,Seed,GreedyOjective,Objective,TotalCost,TotalPenalty,TotalVehicleOperationTime,RoutesCount,DurationMs
8,500,50,5,18044,1547.2822102074595,1416.1603761218335,98.30539102444683,409.5495940729399,908.3053910244467,2,25911.7111
5,2000,30,5,28042,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,111325.2649
7,500,50,5,17045,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,20737.875
8,2000,10,5,29045,1547.2822102074595,1416.1603761218335,98.30539102444683,409.5495940729399,908.3053910244467,2,87596.1794
9,2000,30,5,32046,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,101943.6265
2,2000,30,5,25042,1600.2822102074595,1498.9901874041743,94.08124600403852,417.1246876910066,987.7842537091291,2,77101.2074
5,2000,50,5,30046,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,107652.5851
0,2000,50,5,25043,1708.7112894196043,1518.0729378379056,93.72681029154438,520.6193172548169,903.7268102915443,2,60637.0054
9,2000,10,5,30042,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,77587.7738
4,2000,30,5,27042,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,84074.3645
6,100,10,5,8042,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,2820.0159
5,2000,30,5,28043,1551.2822102074592,1474.0349788396975,97.25368590518647,371,1005.7812929345112,2,111981.2687
7,2000,50,5,32046,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,95359.9212
5,2000,10,5,26046,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,74080.1393
9,2000,10,5,30044,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,89340.0933
6,2000,30,5,29044,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,106117.0672
6,100,10,5,8043,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,2660.3588
7,2000,10,5,28044,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,98208.655
6,2000,50,5,31044,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,116043.6575
6,2000,30,5,29042,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,108160.404
6,100,10,5,8044,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,2262.5186
7,2000,10,5,28046,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,100840.1027
6,2000,50,5,31045,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,109086.7762
7,500,50,5,17046,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,13139.9527
8,500,50,5,18045,1547.2822102074595,1416.1603761218335,98.30539102444683,409.5495940729399,908.3053910244467,2,14513.4958
7,2000,50,5,32044,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,103908.0623
8,2000,50,5,33042,1547.2822102074595,1416.1603761218335,98.30539102444683,409.5495940729399,908.3053910244467,2,117261.2749
6,2000,50,5,31046,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,112753.4154
9,2000,50,5,34043,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,97056.6665
6,2000,10,5,27045,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,62142.9163
0,2000,30,5,23044,1708.7112894196043,1518.0729378379056,93.72681029154438,520.6193172548169,903.7268102915443,2,47428.4227
9,2000,50,5,34046,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,97182.4544
9,2000,50,5,34042,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,99385.183
8,2000,50,5,33044,1547.2822102074595,1416.1603761218335,98.30539102444683,409.5495940729399,908.3053910244467,2,103830.6365
8,2000,50,5,33043,1547.2822102074595,1416.1603761218335,98.30539102444683,409.5495940729399,908.3053910244467,2,104441.5181
5,2000,10,5,26042,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,43518.5556
0,2000,10,5,21044,1708.7112894196043,1518.0729378379056,93.72681029154438,520.6193172548169,903.7268102915443,2,40928.8576
9,2000,50,5,34045,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,98765.7104
8,2000,50,5,33045,1547.2822102074595,1416.1603761218335,98.30539102444683,409.5495940729399,908.3053910244467,2,105284.8874
9,2000,50,5,34044,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,100054.1413
4,2000,10,5,25043,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,39045.411
1,2000,30,5,24043,1599.2822102074592,1437.7659803458755,91.68522398640124,394.3135260954402,951.7672302640342,2,51444.7257
2,2000,10,5,23044,1600.2822102074595,1524.7578137412315,93.14809368197419,427.8284271247462,1003.7812929345112,2,34481.9239
8,2000,10,5,29043,1547.2822102074595,1416.1603761218335,98.30539102444683,409.5495940729399,908.3053910244467,2,32056.1559
3,2000,10,5,24043,1718.054435170112,1448.5361471382996,96.004875600827,446.52639593664566,906.004875600827,2,53140.1121
1,2000,10,5,22045,1599.2822102074592,1437.7659803458755,91.68522398640124,394.3135260954402,951.7672302640342,2,35600.4267
4,2000,30,5,27045,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,42948.0291
6,2000,10,5,27042,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,30412.5484
8,2000,10,5,29046,1547.2822102074595,1418.1421275171367,95.60819138818708,346.83271942909647,975.7012166998531,2,26620.77
0,2000,50,5,25044,1708.7112894196043,1518.0729378379056,93.72681029154438,520.6193172548169,903.7268102915443,2,24085.5462
2,2000,30,5,25043,1600.2822102074595,1498.9901874041743,94.08124600403852,417.1246876910066,987.7842537091291,2,27261.3704
