ScenarioId;Filename;Iterations;TabuSize;MutationType;UseRL;Repeat;Seed;GreedyObjective;GreedyTotalCost;GreedyTotalPenalty;GreedyTotalVehicleOperationTime;Objective;TotalCost;TotalPenalty;TotalVehicleOperationTime;RoutesCount;DurationMs;GTR
1;pliki//100 lokacji//C201.txt;200;50;oropt;False;1;8042;23596.814749504796;3588.7792129758154;6922.057699022802;13085.977837506178;21558.56566916988;2600.225059197134;6666.733575025662;12291.607034947083;24;300107.3267;0,93,75,2,0,0,20,24,27,30,29,64,0,0,67,62,74,72,83,0,0,22,0,0,69,68,49,55,54,3,0,0,66,35,31,37,39,52,0,0,45,80,91,82,84,76,86,0,0,43,42,51,47,48,0,0,59,56,58,40,50,0,0,96,77,79,78,41,21,0,0,13,12,17,11,0,0,81,87,85,0,0,23,34,32,33,0,0,88,90,89,28,0,0,60,53,70,73,0,0,46,65,44,38,36,0,0,95,92,71,4,0,0,5,15,14,1,61,0,0,16,18,26,19,0,0,99,100,97,94,7,0,0,57,6,0,0,10,8,0,0,25,98,9,0,0,63,0
1;pliki//100 lokacji//C201.txt;200;50;rand;False;1;8042;23596.814749504796;3588.7792129758154;6922.057699022802;13085.977837506178;19658.918663535107;2339.1977299510177;5593.983795187958;11725.73713839613;26;300013.0402;0,2,14,15,0,0,31,35,38,39,0,0,8,18,26,51,44,0,0,78,77,87,0,0,69,64,61,66,94,92,91,0,0,90,95,3,4,89,0,0,13,33,37,36,0,0,45,57,59,40,0,0,22,0,0,52,50,55,53,56,0,0,71,83,84,88,86,0,0,58,60,28,0,0,24,27,30,29,34,32,0,0,5,75,9,23,21,6,0,0,25,65,49,68,0,0,93,0,0,81,76,73,80,79,96,0,0,12,16,19,0,0,1,99,100,97,0,0,7,98,0,0,20,0,0,11,82,70,85,0,0,10,17,48,47,41,42,0,0,63,0,0,67,62,74,72,0,0,43,54,46,0
2;pliki//100 lokacji//C201.txt;200;50;swap;False;1;9042;21996.072156780032;2957.0678111374305;6867.902872135079;12171.101473507522;19406.196083504772;2503.384386656989;5052.280283089005;11850.53141375878;24;300151.0064;0,93,5,27,30,0,0,20,22,24,0,0,67,63,62,72,61,64,0,0,90,48,41,52,8,11,0,0,96,78,87,21,0,0,66,69,65,49,55,36,28,0,0,75,2,1,99,0,0,34,33,31,0,0,10,12,14,47,43,0,0,29,6,32,0,0,42,46,51,50,0,0,91,84,82,83,76,73,80,0,0,44,57,85,77,0,0,45,23,59,17,15,0,0,25,13,9,0,0,89,58,60,26,19,0,0,79,70,71,81,0,0,3,7,98,54,0,0,86,88,16,18,0,0,56,53,68,0,0,40,35,37,38,39,0,0,100,97,92,0,0,4,95,94,0,0,74,0
2;pliki//100 lokacji//C201.txt;200;50;invert;False;1;9042;21996.072156780032;2957.0678111374305;6867.902872135079;12171.101473507522;21797.028311786955;2447.3453382519574;7113.80628547378;12235.876688061215;23;300103.6043;0,93,5,24,30,29,0,0,20,22,74,44,0,0,67,63,62,72,61,64,43,0,0,96,87,11,8,0,0,21,52,41,48,0,0,69,68,65,49,55,36,28,0,0,75,2,1,99,0,0,66,33,35,31,51,0,0,90,10,12,25,27,0,0,47,6,32,50,0,0,81,46,42,0,0,91,84,83,82,85,0,0,89,4,13,17,23,0,0,59,57,77,76,73,80,0,0,9,15,14,78,0,0,60,58,45,26,19,0,0,40,54,0,0,98,7,53,56,0,0,79,70,71,0,0,94,92,3,88,86,0,0,37,38,39,34,0,0,18,16,0,0,100,97,95,0
2;pliki//100 lokacji//C201.txt;200;50;insert;False;1;9042;21996.072156780032;2957.0678111374305;6867.902872135079;12171.101473507522;20973.025547513782;2434.5406631932065;6484.401065418393;12054.08381890218;23;300098.901;0,93,5,24,0,0,20,22,74,0,0,67,63,62,72,61,64,0,0,48,43,52,8,0,0,96,87,0,0,69,68,65,49,55,36,28,0,0,75,2,1,99,0,0,66,33,31,0,0,25,12,11,10,0,0,30,29,6,32,0,0,42,46,51,50,47,0,0,89,84,83,82,80,73,76,0,0,45,57,85,77,0,0,13,17,23,41,59,0,0,9,15,14,78,0,0,44,58,60,26,19,0,0,79,70,71,81,0,0,21,90,7,98,4,0,0,86,88,16,18,0,0,27,34,56,53,0,0,95,94,39,38,0,0,100,97,92,3,91,0,0,35,37,54,40,0
2;pliki//100 lokacji//C201.txt;200;50;2opt;False;1;9042;21996.072156780032;2957.0678111374305;6867.902872135079;12171.101473507522;21792.81360094942;2261.5224891415955;7658.469819369722;11872.821292438102;23;304317.3039;0,93,5,24,30,29,0,0,22,20,74,44,0,0,67,63,62,72,61,64,43,0,0,96,87,11,8,0,0,21,52,41,48,0,0,69,68,65,49,55,36,28,0,0,75,2,1,99,0,0,66,33,35,31,51,0,0,90,10,12,25,27,0,0,81,46,42,0,0,6,32,50,47,0,0,89,84,83,82,76,73,80,0,0,77,85,57,45,0,0,13,17,19,26,23,0,0,59,58,60,40,0,0,4,7,98,9,0,0,91,86,54,0,0,79,70,71,78,0,0,15,14,16,18,0,0,53,56,0,0,37,38,39,34,0,0,100,97,92,94,0,0,88,3,95,0
2;pliki//100 lokacji//C201.txt;200;50;oropt;False;1;9042;21996.072156780032;2957.0678111374305;6867.902872135079;12171.101473507522;20444.828819707025;2503.225873735159;5794.257319787357;12147.34562618451;24;300202.817;0,93,5,24,30,29,0,0,20,22,74,44,0,0,67,63,62,72,61,64,0,0,41,43,52,48,0,0,69,68,65,49,55,36,28,0,0,75,2,1,99,0,0,66,33,35,31,0,0,42,46,51,50,0,0,89,84,82,83,0,0,96,59,17,13,0,0,9,15,14,12,10,0,0,21,47,78,87,0,0,91,4,23,26,19,11,8,0,0,79,76,73,80,71,70,0,0,98,7,3,54,0,0,18,16,88,0,0,25,94,81,90,0,0,34,58,60,0,0,77,85,86,95,0,0,27,32,6,0,0,37,38,39,0,0,45,57,40,0,0,53,56,0,0,100,92,97,0
2;pliki//100 lokacji//C201.txt;200;50;rand;False;1;9042;21996.072156780032;2957.0678111374305;6867.902872135079;12171.101473507522;19251.329533027627;2473.1854823192016;4613.948664340411;12164.195386368016;26;300083.4712;0,27,30,29,6,0,0,73,82,83,84,86,45,0,0,96,50,42,47,43,0,0,87,78,76,80,51,52,0,0,8,13,12,10,0,0,14,19,60,59,57,0,0,49,55,53,70,71,0,0,21,25,0,0,62,74,0,0,32,33,0,0,91,89,0,0,16,23,28,26,18,0,0,79,85,92,97,0,0,40,56,58,0,0,31,35,37,38,0,0,67,63,90,3,99,100,0,0,95,94,34,36,39,0,0,5,75,2,1,0,0,44,54,4,88,0,0,77,81,41,48,0,0,11,15,17,9,0,0,66,69,0,0,20,22,24,0,0,93,0,0,72,61,64,68,0,0,46,65,7,98,0
3;pliki//100 lokacji//C201.txt;200;50;swap;False;1;10042;24158.81379091015;3362.3969259350474;8077.2679467959815;12719.148918179122;20326.23421012344;2317.749552378589;6006.600244038424;12001.884413706426;25;300061.7192;0,20,22,24,27,30,0,0,63,0,0,49,72,61,66,69,0,0,67,62,74,0,0,5,2,1,99,100,0,0,21,41,48,11,8,0,0,55,35,37,36,39,0,0,43,47,52,25,0,0,95,7,0,0,9,15,10,0,0,42,46,0,0,78,81,77,96,87,0,0,29,6,32,68,0,0,64,33,34,28,26,0,0,45,50,76,70,73,79,0,0,90,91,88,84,82,0,0,93,3,4,89,0,0,86,80,71,85,83,0,0,51,58,60,59,44,40,0,0,12,19,16,0,0,13,17,0,0,75,98,97,14,18,0,0,57,31,65,0,0,38,23,92,94,0,0,54,53,56,0
3;pliki//100 lokacji//C201.txt;200;50;invert;False;1;10042;24158.81379091015;3362.3969259350474;8077.2679467959815;12719.148918179122;22840.317587615078;2893.3449778952026;7391.004167356615;12555.968442363263;23;300177.0736;0,93,22,24,27,29,52,0,0,20,63,75,61,0,0,67,62,74,72,0,0,5,2,1,99,100,90,0,0,87,10,8,21,41,48,0,0,69,35,37,36,39,4,43,0,0,66,68,92,7,65,50,89,0,0,47,25,42,0,0,78,77,11,0,0,9,15,79,73,96,0,0,30,6,32,31,0,0,64,33,34,28,26,0,0,45,46,76,70,0,0,17,91,88,0,0,51,40,81,82,84,0,0,86,83,85,71,80,0,0,3,59,58,60,44,0,0,14,23,19,16,0,0,49,98,18,0,0,55,56,53,0,0,57,54,0,0,38,94,95,0,0,13,12,97,0
3;pliki//100 lokacji//C201.txt;200;50;insert;False;1;10042;24158.81379091015;3362.3969259350474;8077.2679467959815;12719.148918179122;21819.999275455863;2590.024912299666;6533.574628830841;12696.399734325354;24;300058.9223;0,93,22,24,27,29,0,0,63,0,0,67,62,74,72,0,0,5,2,1,99,100,0,0,8,10,90,0,0,69,35,37,36,39,0,0,66,87,92,7,0,0,47,52,21,15,9,0,0,43,42,41,79,73,96,48,0,0,78,4,0,0,30,6,32,31,0,0,64,33,34,28,26,0,0,45,46,76,70,0,0,91,88,84,82,40,0,0,51,50,25,0,0,86,85,71,80,83,0,0,3,89,58,60,59,44,0,0,11,23,19,16,0,0,13,17,77,81,0,0,61,49,56,68,0,0,57,18,14,12,0,0,95,94,38,0,0,55,65,54,53,0,0,20,75,97,98,0
3;pliki//100 lokacji//C201.txt;200;50;2opt;False;1;10042;24158.81379091015;3362.3969259350474;8077.2679467959815;12719.148918179122;22840.317587615078;2893.3449778952026;7391.004167356615;12555.968442363263;23;300009.0159;0,93,22,24,27,29,52,0,0,20,63,75,61,0,0,67,62,74,72,0,0,5,2,1,99,100,90,0,0,87,10,8,21,41,48,0,0,69,35,37,36,39,4,43,0,0,66,68,92,7,65,50,89,0,0,47,25,42,0,0,78,77,11,0,0,9,15,79,73,96,0,0,30,6,32,31,0,0,64,33,34,28,26,0,0,45,46,76,70,0,0,17,91,88,0,0,51,40,81,82,84,0,0,86,83,85,71,80,0,0,3,59,58,60,44,0,0,14,23,19,16,0,0,49,98,18,0,0,55,56,53,0,0,57,54,0,0,38,94,95,0,0,13,12,97,0
3;pliki//100 lokacji//C201.txt;200;50;oropt;False;1;10042;24158.81379091015;3362.3969259350474;8077.2679467959815;12719.148918179122;22527.723818686478;2573.4163787075777;7583.008298440093;12371.299141538808;26;300084.3358;0,93,22,24,27,29,52,0,0,67,62,74,72,0,0,5,2,1,0,0,87,90,48,0,0,69,35,37,36,39,0,0,21,15,9,96,0,0,42,73,79,25,0,0,11,10,8,41,0,0,30,6,32,31,0,0,34,28,26,0,0,45,46,76,70,0,0,91,88,84,82,40,0,0,86,85,71,80,83,0,0,51,58,60,59,44,0,0,23,19,16,14,0,0,13,17,81,0,0,98,92,7,0,0,57,18,12,0,0,95,94,4,0,0,66,68,49,56,65,0,0,63,0,0,47,50,43,0,0,64,61,78,77,89,0,0,33,38,0,0,55,54,53,0,0,20,75,3,97,99,100,0
3;pliki//100 lokacji//C201.txt;200;50;rand;False;1;10042;24158.81379091015;3362.3969259350474;8077.2679467959815;12719.148918179122;20319.640403666206;2361.736318586462;6223.488441049114;11734.41564403063;27;300077.7874;0,43,52,35,37,0,0,87,25,21,0,0,44,40,85,0,0,13,23,26,19,8,0,0,55,56,58,0,0,34,31,38,36,0,0,93,0,0,67,62,74,0,0,14,16,12,0,0,49,64,66,68,69,0,0,11,15,9,10,0,0,50,51,39,28,0,0,20,22,24,27,6,0,0,91,95,7,86,90,0,0,63,0,0,30,29,32,33,0,0,5,75,89,98,99,0,0,96,77,84,88,0,0,3,92,94,0,0,2,1,97,100,0,0,4,45,65,54,53,0,0,48,42,47,41,0,0,72,61,0,0,81,76,71,78,0,0,80,70,73,79,0,0,17,18,83,82,46,0,0,57,59,60,0
4;pliki//100 lokacji//C201.txt;200;50;swap;False;1;11042;25105.267586349037;3364.604319548486;8972.87447747812;12767.788789322432;20088.539164105707;2177.3638399156384;6081.814496188295;11829.360828001772;25;300071.9309;0,93,0,0,28,36,26,18,23,21,0,0,6,32,19,17,0,0,22,24,27,0,0,14,12,13,9,0,0,67,41,64,72,61,0,0,1,99,100,97,94,0,0,48,55,57,42,43,0,0,82,83,85,87,0,0,69,35,38,37,39,0,0,95,92,98,3,0,0,58,54,49,66,0,0,46,40,53,56,60,0,0,47,45,51,25,0,0,88,86,89,0,0,15,16,0,0,8,91,84,59,44,0,0,5,75,2,30,29,0,0,71,70,90,11,10,0,0,20,0,0,34,33,31,50,52,0,0,74,0,0,63,62,0,0,78,79,73,76,80,77,96,0,0,68,65,81,7,4,0
4;pliki//100 lokacji//C201.txt;200;50;invert;False;1;11042;25105.267586349037;3364.604319548486;8972.87447747812;12767.788789322432;23058.648200896474;2528.9406864489292;8643.979296916583;11885.728217530965;23;300090.3723;0,93,5,75,27,0,0,20,22,2,1,0,0,67,63,64,0,0,87,81,80,77,90,0,0,43,69,68,65,96,41,48,0,0,24,29,21,8,10,0,0,66,35,38,37,39,0,0,25,36,26,89,4,91,0,0,42,47,52,11,0,0,62,72,61,6,33,0,0,74,30,99,0,0,51,45,79,70,76,0,0,49,54,57,0,0,34,32,31,0,0,17,18,16,0,0,86,83,82,84,0,0,98,95,94,19,28,0,0,88,3,7,12,0,0,15,23,60,58,0,0,40,55,53,56,59,44,0,0,46,85,9,13,0,0,78,71,73,50,0,0,14,100,97,92,0
