ScenarioId;Filename;Iterations;TabuSize;MutationType;UseRL;Repeat;Seed;GreedyObjective;GreedyTotalCost;GreedyTotalPenalty;GreedyTotalVehicleOperationTime;Objective;TotalCost;TotalPenalty;TotalVehicleOperationTime;RoutesCount;DurationMs;GTR
0;pliki//100 lokacji//C101.txt;200;50;RL;True;1;7042;30923.049892786683;3034.5176747129867;14588.640695406139;13299.891522667556;24832.30818108065;2167.970426304438;11024.399798999717;11639.937955776495;28;300215.7321;0,5,0,0,98,94,93,100,0,0,67,74,0,0,17,18,27,0,0,63,0,0,43,0,0,91,85,89,0,0,83,84,77,79,64,66,69,0,0,41,44,48,47,46,45,0,0,20,34,36,37,52,0,0,4,99,2,1,0,0,55,54,72,61,0,0,90,78,70,80,0,0,88,51,50,49,0,0,10,8,92,97,0,0,87,86,82,0,0,11,9,6,21,22,0,0,33,31,38,0,0,42,53,56,0,0,57,62,0,0,65,68,40,58,60,59,0,0,28,15,14,12,0,0,32,35,39,29,0,0,24,25,30,26,23,0,0,96,95,75,0,0,3,7,0,0,81,76,71,73,0,0,13,19,16,0
1;pliki//100 lokacji//C101.txt;200;50;RL;True;1;8042;29523.183831487422;2797.062344084836;13873.979332933348;12852.142154469238;24699.483085334017;2123.2889455502755;10720.25847406195;11855.935665721794;25;300169.4459;0,83,84,88,91,0,0,78,71,70,73,79,0,0,32,18,19,4,9,0,0,81,76,77,82,0,0,43,40,48,51,50,46,45,0,0,22,68,59,21,0,0,13,16,14,0,0,42,41,49,30,26,28,0,0,55,53,58,60,0,0,6,12,2,0,0,90,87,86,0,0,25,27,29,39,23,0,0,62,61,72,80,89,66,69,47,0,0,98,95,94,92,0,0,5,10,8,0,0,67,54,56,52,0,0,3,7,0,0,57,63,64,44,0,0,24,31,38,37,0,0,33,35,36,34,0,0,96,93,75,0,0,17,15,11,0,0,1,99,100,97,85,0,0,20,0,0,65,74,0
2;pliki//100 lokacji//C101.txt;200;50;RL;True;1;9042;30159.18060646471;2889.128601425374;14023.666643068122;13246.385361971214;24044.49511578291;2147.1814279393507;9822.014732957092;12075.298954886466;28;300051.3729;0,33,31,0,0,11,16,14,12,0,0,3,7,0,0,20,27,30,28,0,0,63,86,83,0,0,87,82,84,0,0,92,97,100,0,0,43,0,0,78,76,70,73,77,79,0,0,46,48,51,52,50,0,0,10,18,38,37,0,0,32,34,35,29,0,0,98,96,94,93,0,0,90,95,99,0,0,17,19,75,89,85,0,0,15,39,36,0,0,2,88,91,0,0,74,72,61,0,0,57,56,45,44,0,0,26,13,23,22,0,0,9,8,6,1,4,49,47,0,0,64,58,60,59,66,0,0,55,54,53,68,69,0,0,5,0,0,81,80,71,0,0,67,62,65,0,0,24,25,21,0,0,42,41,40,0
3;pliki//100 lokacji//C101.txt;200;50;RL;True;1;10042;30628.417114808304;2918.3106595431254;14798.001413156635;12912.105042108546;24491.104925480962;1860.9918492120205;10971.971339956921;11658.141736312022;25;300039.3266;0,76,71,70,73,77,80,0,0,65,63,0,0,84,85,88,89,91,0,0,68,51,50,52,0,0,21,10,6,9,1,4,0,0,55,54,40,0,0,2,100,97,99,0,0,39,36,34,22,0,0,27,30,12,16,14,0,0,33,37,38,0,0,67,66,62,74,0,0,98,95,94,75,0,0,90,87,86,83,82,0,0,96,93,92,0,0,3,7,8,11,0,0,20,0,0,5,18,28,26,23,0,0,24,25,29,0,0,42,41,48,46,47,0,0,43,56,53,72,61,69,64,0,0,57,44,45,49,0,0,81,78,79,0,0,13,15,19,17,0,0,32,31,35,0,0,58,60,59,0
4;pliki//100 lokacji//C101.txt;200;50;RL;True;1;11042;28178.215552375303;2498.315041638647;13144.532441251597;12535.36806948506;24906.233984001057;2008.2591623196588;11193.049842856277;11704.924978825122;25;300097.2312;0,81,71,73,70,0,0,32,18,19,12,9,0,0,55,54,53,48,47,0,0,96,95,2,0,0,98,94,100,99,0,0,20,27,0,0,78,76,82,88,97,0,0,17,16,14,11,28,0,0,90,84,83,85,89,0,0,57,40,62,74,0,0,87,86,0,0,42,44,60,56,58,59,0,0,3,1,93,92,0,0,41,64,72,61,77,79,80,91,0,0,43,31,29,49,45,51,52,50,0,0,37,38,39,36,30,26,23,0,0,33,35,34,46,0,0,24,25,22,0,0,69,68,66,75,0,0,63,0,0,65,0,0,5,7,8,10,0,0,13,15,0,0,67,0,0,6,4,21,0
5;pliki//100 lokacji//C101.txt;200;50;RL;True;1;12042;28896.664125385534;2775.0176972650643;13081.3435490884;13040.302879032071;23916.142231061785;2050.694172569474;10077.329603661101;11788.11845483121;26;300042.128;0,32,34,27,0,0,95,92,94,77,64,66,0,0,37,38,39,36,0,0,81,70,80,72,61,0,0,53,58,60,59,0,0,57,55,40,0,0,35,24,4,2,99,1,0,0,13,19,15,11,0,0,33,31,29,30,0,0,45,48,51,50,52,49,47,0,0,78,76,71,84,89,0,0,16,14,12,21,0,0,17,18,10,28,26,23,0,0,65,41,44,46,0,0,43,42,0,0,98,96,97,100,75,0,0,91,88,0,0,67,63,0,0,87,86,83,82,73,79,0,0,56,54,68,69,0,0,20,0,0,25,22,0,0,85,93,0,0,5,0,0,3,7,8,9,6,0,0,90,74,62,0
6;pliki//100 lokacji//C101.txt;200;50;RL;True;1;13042;30673.012496098283;3193.3855807328296;14305.325625166954;13174.301290198498;24366.67015822565;2254.3566911451308;10462.805588611127;11649.507878469394;29;300113.5291;0,20,0,0,24,25,21,0,0,32,0,0,78,76,71,70,80,0,0,3,7,0,0,17,16,14,10,0,0,19,18,0,0,13,9,29,30,28,26,0,0,67,62,74,0,0,89,91,2,75,0,0,27,50,46,12,100,99,0,0,55,56,53,72,0,0,98,95,1,4,0,0,96,97,94,84,0,0,81,86,83,88,0,0,63,0,0,31,38,35,37,0,0,57,40,45,44,0,0,41,54,59,69,66,0,0,34,39,36,23,22,0,0,61,64,68,48,51,52,49,47,0,0,87,85,82,77,73,79,0,0,90,92,93,0,0,5,0,0,15,11,0,0,65,6,8,0,0,42,0,0,33,0,0,43,60,58,0
7;pliki//100 lokacji//C101.txt;200;50;RL;True;1;14042;31463.12927842098;3044.0987903378814;15164.506368123515;13254.524119959586;24604.07975918269;2122.8601716299454;10549.13251448153;11932.087073071214;26;300146.3122;0,88,89,91,0,0,78,76,71,70,79,0,0,99,97,100,75,0,0,5,18,17,14,12,0,0,33,35,37,36,0,0,57,53,68,69,0,0,41,60,56,61,64,66,0,0,90,86,84,85,0,0,15,16,0,0,87,0,0,65,94,92,93,0,0,24,27,29,74,0,0,21,26,34,49,47,0,0,81,73,83,82,0,0,32,38,39,0,0,67,0,0,25,31,51,46,0,0,13,19,10,30,28,0,0,96,95,2,1,0,0,55,54,59,72,80,77,0,0,98,7,8,11,23,22,0,0,43,45,50,52,9,6,4,0,0,42,40,44,58,48,0,0,63,62,0,0,20,0,0,3,0
8;pliki//100 lokacji//C101.txt;200;50;RL;True;1;15042;29757.316426172336;2933.0903839442008;14022.751326458561;12801.474715769575;24123.4548090835;2009.5391750108845;10593.240040061586;11520.67559401103;27;300091.6972;0,42,41,48,46,0,0,13,19,16,0,0,98,95,97,0,0,87,0,0,62,54,53,68,0,0,70,73,77,0,0,38,39,36,34,22,0,0,96,94,92,93,0,0,57,40,44,0,0,30,28,26,23,21,0,0,81,71,83,82,0,0,49,52,0,0,32,33,35,37,61,64,0,0,86,85,84,88,89,0,0,65,74,72,66,69,0,0,78,76,79,80,60,51,47,0,0,20,0,0,91,99,100,2,1,75,0,0,24,25,0,0,5,6,11,0,0,17,18,15,0,0,3,4,8,9,12,14,0,0,55,56,58,59,0,0,43,0,0,7,10,27,29,31,45,50,0,0,90,0,0,67,63,0
9;pliki//100 lokacji//C101.txt;200;50;RL;True;1;16042;29248.58181545681;3112.6175254099335;12680.088339387765;13455.875950659114;23201.888565045658;2038.3370682477143;9522.955464564053;11640.596032233889;25;300138.9072;0,84,85,89,0,0,33,35,37,39,0,0,5,9,12,16,11,0,0,14,100,99,2,75,0,0,67,65,72,74,0,0,47,48,50,51,52,49,0,0,78,76,71,79,61,64,0,0,26,28,34,36,21,0,0,81,83,82,0,0,58,60,59,23,0,0,80,70,73,77,66,69,0,0,98,96,97,1,4,0,0,55,54,68,0,0,87,86,88,91,0,0,43,40,53,56,0,0,90,63,62,0,0,95,94,93,92,0,0,24,25,30,29,0,0,42,41,45,44,46,0,0,13,7,0,0,32,18,10,0,0,57,31,38,0,0,3,6,8,0,0,20,22,27,0,0,17,19,15,0
