Iteration,Timestamp,State,Action,Operator,Reward,QValueBefore,QValueAfter,Epsilon,BestObjective,CurrentObjective,QTableSize,AvgQValue,MaxQValue,MinQValue
38,2025-12-07 22:09:33.521,9,0,swap,0.108085,0.246262,0.265386,0.981666,26359.93,26359.93,8,0.235342,0.366019,0.059142
39,2025-12-07 22:09:33.692,9,0,swap,0.227081,0.265386,0.294498,0.981175,26300.07,26300.07,8,0.238981,0.366019,0.059142
40,2025-12-07 22:09:33.822,9,5,cross,0.076649,0.059142,0.093835,0.980684,26279.91,26279.91,8,0.243318,0.366019,0.093835
41,2025-12-07 22:09:33.921,9,2,invert,0.210490,0.130881,0.171783,0.980194,26224.60,26224.60,8,0.248431,0.366019,0.093835
42,2025-12-07 22:09:34.019,9,0,swap,0.019220,0.294498,0.299911,0.979704,26219.56,26219.56,8,0.249107,0.366019,0.093835
43,2025-12-07 22:09:34.162,9,0,swap,0.149630,0.299911,0.317825,0.979214,26180.32,26180.32,8,0.251346,0.366019,0.093835
44,2025-12-07 22:09:34.287,9,4,oropt,0.070072,0.337088,0.343328,0.978724,26161.98,26161.98,8,0.252126,0.366019,0.093835
45,2025-12-07 22:09:34.409,9,2,invert,0.084820,0.171783,0.196029,0.978235,26139.79,26139.79,8,0.255157,0.366019,0.093835
46,2025-12-07 22:09:34.578,9,5,cross,0.009111,0.093835,0.118304,0.977746,26137.41,26137.41,8,0.258216,0.366019,0.114619
47,2025-12-07 22:09:34.684,9,4,oropt,0.358781,0.343328,0.377815,0.977257,26043.63,26043.63,8,0.262527,0.377815,0.114619
48,2025-12-07 22:09:34.837,9,5,cross,0.244642,0.118304,0.164941,0.976768,25979.92,25979.92,8,0.268356,0.377815,0.114619
49,2025-12-07 22:09:35.029,9,1,insert,0.039374,0.268752,0.279818,0.976280,25969.69,25969.69,8,0.269740,0.377815,0.114619
50,2025-12-07 22:09:35.239,9,0,swap,0.279867,0.317825,0.348033,0.975792,25897.01,25897.01,8,0.273515,0.377815,0.114619
51,2025-12-07 22:09:35.448,9,2,invert,0.082089,0.196029,0.218638,0.975304,25875.75,25875.75,8,0.276342,0.377815,0.114619
52,2025-12-07 22:09:35.610,9,4,oropt,-0.032651,0.377815,0.370772,0.974816,25875.75,25884.20,8,0.275461,0.370772,0.114619
53,2025-12-07 22:09:35.765,9,0,swap,0.000000,0.348033,0.346599,0.974329,25875.75,25884.20,8,0.275282,0.370772,0.114619
54,2025-12-07 22:09:35.923,9,3,2opt,0.039778,0.366019,0.366764,0.973842,25873.90,25873.90,8,0.275375,0.370772,0.114619
55,2025-12-07 22:09:36.074,9,5,cross,0.040865,0.164941,0.185903,0.973355,25863.33,25863.33,8,0.277995,0.370772,0.114619
56,2025-12-07 22:09:36.178,9,4,oropt,0.224950,0.370772,0.389559,0.972868,25805.15,25805.15,8,0.280344,0.389559,0.114619
