ScenarioId,Filename,Iterations,TabuSize,MutationType,UseRL,Repeat,Seed,GreedyObjective,GreedyTotalCost,GreedyTotalPenalty,GreedyTotalVehicleOperationTime,Objective,TotalCost,TotalPenalty,TotalVehicleOperationTime,RoutesCount,DurationMs,GTR,algorithm
5,pliki//100 lokacji//C101.txt,200,50,swap,False,2,12042,18491.89461423253,1397.9352568597114,10566.024100513105,6527.935256859711,16976.860914068897,1615.7106894877795,8615.439535093337,6745.71068948778,11,300014.7364,0;37;11;10;73;79;88;0;0;32;31;62;0;0;90;86;71;82;0;0;20;7;8;0;0;5;18;15;0;0;98;35;58;59;64;68;0;0;13;17;14;46;61;66;89;0;0;57;54;44;0;0;67;43;27;29;60;36;23;0;0;24;76;83;84;77;51;52;49;0;0;55;41;53;72;45;48;50;0,TabuSearch
5,pliki//100 lokacji//C101.txt,200,50,swap,False,2,12043,18491.89461423253,1397.9352568597114,10566.024100513105,6527.935256859711,17121.727943134625,1537.7252854184915,8916.277372297644,6667.725285418491,11,300009.0854,0;90;71;53;77;64;66;0;0;98;10;8;11;14;23;0;0;5;15;0;0;86;76;83;84;73;79;50;52;49;0;0;43;7;82;88;89;0;0;67;54;44;46;0;0;32;27;35;72;61;0;0;20;31;29;36;45;48;51;0;0;24;41;37;60;59;68;0;0;57;55;62;0;0;13;17;18;58;0,TabuSearch
6,pliki//100 lokacji//C101.txt,200,50,swap,False,2,13042,12339.307830541822,1346.4393301261596,5686.4291702895025,5306.43933012616,11148.559275933516,1440.7470122485158,4307.0652514364865,5400.747012248515,11,300025.0843,0;43;76;84;11;9;89;80;0;0;13;7;94;10;61;64;0;0;57;54;0;0;20;63;0;0;33;18;44;45;0;0;67;27;35;37;12;100;0;0;90;86;8;30;39;36;0;0;5;3;82;70;73;0;0;24;95;15;0;0;42;25;0;0;32;0,TabuSearch
6,pliki//100 lokacji//C101.txt,200,50,swap,False,2,13043,12339.307830541822,1346.4393301261596,5686.4291702895025,5306.43933012616,11446.478281740941,1439.3079883444711,4607.862305051998,5399.307988344472,10,300007.1707,0;20;42;30;44;39;36;0;0;3;25;35;10;0;0;5;63;94;0;0;43;86;82;70;73;80;0;0;90;18;8;11;9;64;0;0;32;33;27;0;0;13;7;15;0;0;57;54;0;0;24;76;84;12;100;89;0;0;67;95;37;45;61;0,TabuSearch
7,pliki//100 lokacji//C101.txt,200,50,swap,False,2,14042,18386.164738292548,1422.5551274305549,10861.054483431437,6102.555127430556,15369.375033583055,1437.0635420723788,7815.247949438297,6117.063542072379,11,300031.3438,0;90;95;83;84;0;0;98;86;30;37;9;4;1;0;0;13;18;15;0;0;42;31;44;46;0;0;43;41;74;0;0;20;10;94;92;89;61;64;0;0;5;25;8;6;0;0;24;7;35;58;59;48;0;0;67;76;70;11;36;26;49;0;0;32;82;71;73;77;0;0;57;54;0,TabuSearch
7,pliki//100 lokacji//C101.txt,200,50,swap,False,2,14043,18386.164738292548,1422.5551274305549,10861.054483431437,6102.555127430556,14524.647407111186,1558.6053399817188,6727.436727147749,6238.605339981719,11,300009.2536,0;42;41;0;0;24;86;94;92;77;64;89;0;0;5;31;35;58;59;0;0;43;37;10;11;6;0;0;98;95;15;0;0;90;7;71;84;36;48;49;0;0;67;76;83;82;9;26;4;1;0;0;57;54;46;0;0;32;44;74;0;0;20;25;70;73;61;0;0;13;18;8;30;0,TabuSearch
8,pliki//100 lokacji//C101.txt,200,50,swap,False,2,15042,17349.541320495668,1333.4657420375613,10092.609836420546,5923.4657420375615,15351.332364713566,1531.612863778987,7698.106637155592,6121.612863778987,11,300009.9778,0;13;15;0;0;78;76;74;0;0;33;41;37;30;36;34;23;0;0;32;25;0;0;5;3;95;82;0;0;20;27;18;19;38;45;0;0;67;83;62;84;77;80;66;0;0;98;8;44;39;26;0;0;90;54;53;61;64;0;0;43;86;29;73;59;60;52;47;0;0;57;46;0,TabuSearch
8,pliki//100 lokacji//C101.txt,200,50,swap,False,2,15043,17349.541320495668,1333.4657420375613,10092.609836420546,5923.4657420375615,14755.993327277625,1595.2516129937349,6975.4901012901555,6185.251612993735,11,300002.2671,0;98;95;0;0;90;86;83;82;60;45;0;0;32;33;53;73;80;0;0;67;25;27;29;30;0;0;20;76;44;38;36;26;0;0;13;18;15;0;0;57;54;0;0;3;19;84;39;59;34;23;0;0;5;37;46;0;0;78;8;77;61;64;66;52;47;0;0;43;41;62;74;0,TabuSearch
9,pliki//100 lokacji//C101.txt,200,50,swap,False,2,16042,14135.230565892121,1347.5938269774867,6850.042911937147,5937.593826977487,13211.7004275409,1453.808216128935,5714.08399528303,6043.808216128935,10,300031.2402,0;20;86;62;11;28;68;51;0;0;43;7;8;29;30;34;0;0;90;41;27;46;61;59;89;0;0;5;63;71;73;0;0;67;18;19;16;0;0;98;96;94;93;99;6;69;0;0;13;25;10;9;0;0;32;31;37;0;0;57;54;44;0;0;24;76;92;85;77;80;0,TabuSearch
9,pliki//100 lokacji//C101.txt,200,50,swap,False,2,16043,14135.230565892121,1347.5938269774867,6850.042911937147,5937.593826977487,13211.7004275409,1453.808216128935,5714.08399528303,6043.808216128935,10,300021.0786,0;20;86;62;11;28;68;51;0;0;43;7;8;29;30;34;0;0;90;41;27;46;61;59;89;0;0;5;63;71;73;0;0;67;18;19;16;0;0;98;96;94;93;99;6;69;0;0;13;25;10;9;0;0;32;31;37;0;0;57;54;44;0;0;24;76;92;85;77;80;0,TabuSearch
10,pliki//100 lokacji//C101.txt,200,50,swap,False,2,17042,18123.088390910845,1170.1631238299776,11282.762143250888,5670.163123829978,16127.686361913173,1481.1317243888411,8665.422913135491,5981.131724388841,11,300018.3328,0;32;25;0;0;98;86;83;45;39;36;52;0;0;20;24;37;46;0;0;93;18;29;22;0;0;57;41;56;0;0;55;54;44;0;0;43;7;8;59;64;48;50;68;0;0;90;95;10;11;30;12;91;0;0;13;27;53;61;9;4;0;0;5;31;92;97;0;0;67;63;0,TabuSearch
10,pliki//100 lokacji//C101.txt,200,50,swap,False,2,17043,18123.088390910845,1170.1631238299776,11282.762143250888,5670.163123829978,16291.477333814557,1369.2434900936175,9052.990353627321,5869.243490093618,10,300008.2761,0;67;55;54;44;0;0;90;25;27;46;0;0;5;63;53;0;0;43;86;83;11;9;12;4;68;52;0;0;20;7;8;97;0;0;32;31;29;36;30;59;0;0;13;18;10;48;64;50;91;0;0;24;61;37;39;22;0;0;57;41;56;45;0;0;98;95;92;93;0,TabuSearch
11,pliki//100 lokacji//C101.txt,200,50,swap,False,2,18042,18133.252087390698,1340.907082316091,10771.437922758514,6020.907082316091,15671.571224384797,1482.6209910115886,8026.32924236162,6162.620991011589,10,300012.2586,0;67;55;40;44;60;45;91;66;0;0;43;7;8;92;79;99;0;0;5;41;62;84;97;89;0;0;20;86;83;74;59;0;0;90;18;35;30;39;36;0;0;13;31;10;11;4;0;0;32;33;27;64;0;0;98;95;94;85;9;0;0;57;54;48;0;0;24;25;37;28;0,TabuSearch
11,pliki//100 lokacji//C101.txt,200,50,swap,False,2,18043,18133.252087390698,1340.907082316091,10771.437922758514,6020.907082316091,15352.636468311443,1450.9483067411509,7770.739854829141,6130.948306741151,11,300021.6253,0;18;40;92;84;89;91;99;0;0;43;41;8;37;36;0;0;32;33;27;0;0;20;25;0;0;13;94;97;9;0;0;98;95;10;11;30;39;0;0;67;55;62;44;60;59;79;66;0;0;57;54;0;0;5;7;74;0;0;90;31;35;28;45;48;0;0;24;86;83;85;4;64;0,TabuSearch
12,pliki//100 lokacji//C101.txt,200,50,swap,False,2,19042,18908.971953679757,1433.961725553596,11271.048502572565,6203.961725553595,16573.871662198595,1540.521717670252,8722.828226858092,6310.521717670253,10,300017.3026,0;43;25;8;72;61;66;0;0;3;41;40;11;14;99;22;52;0;0;67;86;19;30;9;12;4;1;0;0;20;63;83;75;0;0;5;7;15;0;0;13;31;35;48;36;0;0;32;18;29;59;26;23;0;0;98;95;92;10;0;0;57;54;71;73;0;0;90;37;82;85;89;0,TabuSearch
12,pliki//100 lokacji//C101.txt,200,50,swap,False,2,19043,18908.971953679757,1433.961725553596,11271.048502572565,6203.961725553595,16573.871662198595,1540.521717670252,8722.828226858092,6310.521717670253,10,300006.6107,0;43;25;8;72;61;66;0;0;3;41;40;11;14;99;22;52;0;0;67;86;19;30;9;12;4;1;0;0;20;63;83;75;0;0;5;7;15;0;0;13;31;35;48;36;0;0;32;18;29;59;26;23;0;0;98;95;92;10;0;0;57;54;71;73;0;0;90;37;82;85;89;0,TabuSearch
13,pliki//100 lokacji//C101.txt,200,50,swap,False,2,20042,18800.70150480002,1400.618333596473,11229.464837607075,6170.618333596473,16216.976152285417,1566.6276244505314,8313.720903384356,6336.627624450531,10,300014.0957,0;20;33;53;45;26;0;0;5;41;40;46;39;36;0;0;24;86;83;11;100;1;4;0;0;90;7;19;92;6;0;0;32;94;82;73;79;66;80;0;0;3;54;56;59;0;0;13;18;29;30;28;0;0;98;76;70;77;84;0;0;43;15;9;0;0;67;31;27;38;50;64;0,TabuSearch
13,pliki//100 lokacji//C101.txt,200,50,swap,False,2,20043,18800.70150480002,1400.618333596473,11229.464837607075,6170.618333596473,16216.976152285417,1566.6276244505314,8313.720903384356,6336.627624450531,10,300018.4841,0;20;33;53;45;26;0;0;5;41;40;46;39;36;0;0;24;86;83;11;100;1;4;0;0;90;7;19;92;6;0;0;32;94;82;73;79;66;80;0;0;3;54;56;59;0;0;13;18;29;30;28;0;0;98;76;70;77;84;0;0;43;15;9;0;0;67;31;27;38;50;64;0,TabuSearch
